Deyimler;Türkçe Anlamı;İngilizce Anlamı
Yanına (kâr) kalmak;Kendisinden öç alınmamak, yaptığı kötülük sert karşılık görmemek, cezasız kalmak;Not to be revenated from him, not to see the evil he has done harsh, to be unpunished
Yanından bile geçmemiş;Hiç ilgisi yok, en ufak benzerliği bile yok;It has nothing to do with it, it has no similarity
Yanlış kapı çalmak;İsteğinin yapılamayacağı bir yere başvurmak;Apply to a place where the request cannot be made
Yan tutmak;Taraflardan birini desteklemek;Support one of the parties
Yan yan bakmak;Düşmanca, kötü niyetle bakmak;Hostility
Yapmadığını bırakmamak;Bütün kötülükleri yapmak, eziyet etmek;To do all the evils, to torment
Yara açmak;Büyük dert, acı, üzüntü vermek;Great trouble, pain, sadness
Yarı buçuk;Tam değil, çok az, tamamlanmamış, baştan savma;Not complete, very little, uninterrupted, don't fight from the beginning
Yarım ağızla;İsteksizce, istemeye istemeye, gönülsüzce;Reluctant, reluctant to reluctantly
Yarım yamalak;Gelişigüzel, üstünkörü, eksik ve kusurlu;Random, cursory, incomplete and defective
Yarından tezi yok;En kısa zamanda, çok çabuk, geciktirmeden;As soon as possible, very quickly, without delay
Yarı yolda bırakmak;Verilen desteği, yapılan yardımı sonuna kadar götürmemek;Not to take the support provided to the end
Ya sabır çekmek;Kötülüklere, sıkıntılara, üzücü olaylara karşı tepki göstermemeye çalışıp Allah’tan kendisine sabır vermesini istemek;Trying not to react against evil, troubles, sad events and ask God to give him patience
Yaşını başını almış;Yaşı epeyce ilerlemiş olmak, yaşlanmış veya olgunlaşmış olmak;Being advanced in age, being old or mature
Yaşını içine akıtmak;"Hissettiği acıyı, ızdırabı, üzüntüyü belli etmemek; ağlamak isteğini bastırmak";"Not to show the pain, the pain, the sadness; fading up"
Yaş tahtaya basmamak;Kolay kolay tuzağa düşmemek, uyanık davranmak;Not to fall into the trap easily, to be awake
Yatağa düşmek;Hastalık yüzünden yatmak zorunda kalmak, ayağa kalkamayacak durumda olmak;To be forced to sleep because of the illness, to be in a position to stand up
Yataklık etmek;Bir suçluya yardım etmek, onu gizlemek, barındırmak;Helping a criminal, hiding it, hosting it
Yatak yorgan yatmak;Çok hasta olmak;Be very sick
Yaygarayı basmak;Bağırıp çağırmak, önemli bir nedeni olmadığı hâlde feryat etmek;Shouting and crying, even though there is no significant reason
Yaz boz tahtasına çevirmek;Bir konuda birbirine uymayan kararlar almak, kararsızlık yüzünden bir konuda sık sık fikir değiştirmek;Making decisions that do not comply with each other on a subject, often changing an issue on something because of indecision
Yedi düvel; herkes, bütün dünya;Everyone, the whole world
Yediden yetmişe;En büyüğünden en küçüğüne, eli ayağı tutan herkes;Everybody who holds the foot from the largest to the smallest
Yedi iklim dört bucak;Hemen her yer, bütün dünya;Almost every place, the whole world
Yedi kat yabancı;El, ne akraba ne tanıdık, hiçbir yakınlığı yok;Hand, neither relative nor familiar, there is no intimacy
Yeğ tutmak;Bir şeyi bir şeyden daha önemli görüp tercih etmek;To see something more important than something
Yelkenleri suya indirmek;"Israrından, iddiasından, direnmekten vazgeçip karşısındakinin dediğini kabul etmek; yüksekten atıp tutmayı bırakarak yumuşamak";"To admit what the other person says; soften"
Yerden yere çalmak;Çok hırpalamak, acınacak duruma düşürmek, zor durumlarda bırakmak;To batter a lot, to make it pitiful, to leave it in difficult situations
Yere bakan yürek yakan;Uslu, uysal, sessiz görünüp gizliden gizliye ve sinsice dolap çeviren, kötülük yapan kimse;Uslu, docile, silent, secretly and sneaky cabinet, who seem to be evil
Yere göğe sığdıramamak;Çok önem vermek, nasıl ağırlayacağını ve memnun edip mutlu kılacağını bilememek;Not to know how to host a lot, how to welcome and make happy and make it happy
Yer etmek;İz bırakmak;Trail
Yerinde saymak;Hiç gelişme, ilerleme gösterememek;Not being able to improve, progress
Yerinde yeller esmek;Yok olmak, artık bulunmamak;To disappear, not to be found
Yerin dibine geçmek;Çok utanmak, sıkılmak;To be very embarrassed, to be bored
Yerini doldurmak;Daha önce görevinden ayrılan, yerine geçtiği biri kadar başarılı olmak;To be as successful as someone who has left his post before
Yeri yurdu belirsiz;"Serseri; ne iş yaptığı, nerde kaldığı, nereli olduğu bilinmeyen";"Rascal; what he does, where he stayed, where he is from unknown"
Yerle bir etmek;Bir yeri yakıp yıkmak, tahrip etmek, temeline kadar söküp dağıtmak;Burning and demolishing a place, destroying, dismantling and distributing to the foundation
Yerli yersiz;Uygun olsun olmasın, uygun zamanı kollamadan;Whether it is appropriate, without watching the appropriate time
Yer yarılıp içine girmek;Yitirilen şey bir türlü bulunamamak;Not to be found in a lost thing
Yer yerinden oynamak;Bir olay toplumda telâş, heyecan, gürültü, patırtı, kargaşa oluşturmak;An event in society, consider excitement, excitement, noise, fuss, turmoil
Yeşil ışık yakmak;Bir şeyin olmasına izin vermek;Let something happen
Yılan hikâyesi;Bir türlü sonuca bağlanamayan, çözümlenemeyen, uzayıp giden (mesele ya da iş);That cannot be concluded, cannot be resolved, extended (issue or work)
Yılanın kuyruğuna basmak;Zararı dokunacak, kötülük yapacak bir kimseye ilişmek ya da sataşmak yoluyla fırsat vermek;To give an opportunity to a person who will damage, do evil, to make an opportunity
Yıldırımları (veya şimşekleri) üstüne çekmek;Kimi davranışlarıyla pek çok kimseyi kızdırarak eleştirilere, saldırılara yol açmak;With some behavior, many people angered criticism and attacks
Yıldızı barışmamak;Aralarında görüş, düşünce ve duygu ayrılıkları bulunup birbirlerinden hoşlanmamak, birbirleriyle iyi geçinmemek, anlaşıp uyuşamamak;The differences of opinion, thought and emotion among them are not found and like each other, not getting along well with each other, whether they agree
Yıldızı parlamak;Çok başarılı olup herkesin dikkatini çekecek duruma gelmek, ün kazanmak;To be very successful and will attract everyone's attention, gaining fame
Yıldızı sönmek;Ününü ve itibarını kaybetmek;Losing your reputation and reputation
Yok pahasına;Son derece ucuz, değerinin altında bir fiyata;Extremely cheap, at a price below its value
Yola gelmek;Ters tutumunu düzeltmek, uslanmak, istenilen biçimdeki davranışı kabul etmek;To correct the reverse attitude, to be raised, to accept the desired form of behavior
Yola getirmek;Birinin bir konudaki ters tutumunu düzeltmek;Correcting someone's opposite attitude
Yol aramak;Bir meseleye çare bulmaya çalışmak, imkân aramak;Trying to find a remedy for an issue, looking for opportunities
Yol bulmak;Bir çözüm, bir çare bulmak;Find a solution, a remedy
Yol geçen hanı;Hemen herkesin girip çıktığı, uğradığı yer;Almost everyone in and out
Yol göstermek;Rehberlik etmek, yolu bilmeyene tarif etmek, nasıl gidileceğini anlatmak;Guidance, describing the way to those who do not know, explaining how to go
Yol iz bilmemek;Bulunduğu yerde yabancı olup gideceği yolu ve yeri bilmemek;Not knowing the way and place to go to foreign and go
Yolu düşmek;"Yolu üzerinde bulunan o yerden geçmesi gerekmek; o yer, yolu üzerinde bulunmak";"To pass from that place on its way; that place is on its way"
Yoluna girmek;İstenilen biçimi almak, gerekli olan şekilde gelişmek;To get the desired format, to develop as necessary
Yoluna koymak;Bir işi olumlu bir duruma sokmak, istenilen şekle getirmek;Putting a job in a positive situation, bringing it to the desired shape
Yolunu beklemek;Gelmesini beklemek;Wait for it
Yolunu bulmak;Çözüme ulaşmak, gereken çareyi bulmak;Reaching the solution, finding the necessary remedy
Yolunu sapıtmak;Kötü yola düşmek, doğru yoldan ayrılmak;Falling down the bad road, leaving the right way
Yolunu yapmak;Bir işi olumlu sonuca ulaştıracak ya da mümkün kılacak girişimde bulunup hazırlık yapmak veya tedbir almak;In the initiative that will bring a job to a positive result or make it possible, to prepare or take precautions
Yol yordam;Bir şey, davranış ya da yapışın usul ve kuralları;Something, the procedures and rules of behavior or making
Yufka yürekli;Çok duygulu olup olaylardan hemen etkilenip ağlayan, çok acıyan, üzülen;Very emotional and influenced by the events immediately crying, very sorrowful, upset
Yukarı tükürsem bıyık, aşağı tükürsem sakal;İki davranış, iki kimse, iki karşıt şey arasında bir tercih yapamama zorluğu;Two behaviors, two people, the difficulty of not being able to make a choice between two opposing things
Yumuşak yüzlü;Kendisinden istenilenleri geri çevirmeyen, kimseyi gücendirmek istemeyen kimse;Anyone who does not turn down what he was requested, does not want to offend anyone
Yuvarlak hesap;Ayrıntıya girmeden, bir bütün sayıya yaklaşık olarak tamamlanabilen hesap;The account that can be completed to a whole number without going into detail
Yuvarlanıp gitmek;Eldeki imkânlar içinde hayat sürmek;Living life in the possibilities at hand
Yük altına girmek;Sorumluluk gerektiren, ağır bir görevi kabul etmek;To accept a heavy task that requires responsibility
Yükseklerde dolaşmak;Elde edilmesi zor şeyler istemek;Asking for things hard to get
Yüksek perdeden konuşmak;Yapılması güç şeyleri yapacakmış gibi abartılı konuşmak;Exaggerated to talk as if it were going to do things
Yüksekten atmak;Yapamayacağı şeyleri söylemek;Saying things he can't do
Yükte hafif pahada ağır;Taşınması kolay, değerli eşya;Easy to carry, precious items
Yükün altından kalkmak;Üzerine aldığı ağır bir işi başarmak;To achieve a heavy job he gets on
Yüreği ağzına gelmek;Birden bire çok korkmak, kalbi yerinden fırlayacakmış gibi hızlı hızlı atmak;Suddenly to be so scared, throw fast as if the heart is going to jump out
Yüreği cız etmek;Çok acımak, içi sızlamak;Very pity, whining inside
Yüreği çarpmak;Korku ve kaygı duyup merak etmek, bu sebeple tedirgin olmak;To be afraid and worrying, so being anxious
Yüreği dayanmamak;Çok acı duymak, acısına katlanamamak;Hearing a lot of pain, not being able to endure your pain
Yüreği hop etmek;Bir olay karşısında birdenbire korkup heyecanlanmak;A suddenly scared and excited in the face of an event
Yüreği ferahlamak;kaygıdan, sıkıntıdan kurtulmak;get rid of anxiety, boredom
Yüreğine su serpilmek;Duyduğu üzüntüyü hafifletecek bir haberle karşılaşmak, ferahlamak;To encounter a news that will alleviate his sadness, to refresh
Yüreği küt küt atmak;Korku ve heyecandan yüreği hızlı hızlı çarpmak;Fucking his heart quickly with fear and excitement
Yüreği pek;Korkusuz, çok cesaretli;Fearless, very courageous
Yüreği yanmak;Çok fazla acımak;Pity too much
Yüz bulmak;Kendisine gösterilen hoşgörüden yararlanma yoluna gidip şımarmak, hoşa gitmeyen davranışlarda bulunmak;Going on the way to benefit from the tolerance shown to him, to be spoiled, to be unpleasant behaviors
Yüze gülmek;Yalandan dost görünmeye çalışmak;Try to look friendly
Yüze vurmak;İşlediği bir suçu ya da kabahati birinin açıkça yüzüne söyleyip onun utanmasına yol açmak;A crime or misdemeanor he committed
Yüze yüze kuyruğuna gelmek;Uzun süren bir işin sonuna yaklaşmış olmak;Approaching the end of a long -lasting job
Yüz göz olmak;Senli benli olmak ve birbirinden çekineceği kalmamak, aradaki mesafe kalkmış olmak;Being you with you and not having to avoid each other, to be the distance between them
Yüz karası;Ailesi, çevresi için utanç verici bir iş yapmak;Doing a shameful job for his family, his surroundings
Yüz kızartıcı;Çok utandırıcı hareket veya durum;Very embarrassing movement or situation
Yüzü ak;"Suçu, utanılacak durumu bulunmamak; temiz ve saf olmak";"The crime, no shameful situation; be clean and pure"
Yüzü kalmamak;Bir kimseye karşı pek borçlu bulunmak ve ondan artık bir şey isteyecek hâli kalmama;To be very indebted to a person and not to ask for anything from it anymore
Yüzü kara;Utanacak bir durumu olan;With a state to be ashamed
Yüzünden düşen bin parça olmak;Sıkıntısı, öfkesi ve küskünlüğü yüz ifadesinden belli olmak;Boredom, anger and resentment to be evident from the facial expression
Yüzünden okumak;Neler hissettiğini, durumunu yüzünden anlamak;Understanding what he feels, his situation
Yüzüne kan gelmek;"sağlığına kavuştuğu yüzünün kızarmasından belli olmak; soluk rengi geçmek";"to be evident from the flushing face that he has regained health; pale color"
Yüzünü ekşitmek;Rahatsız olduğunu, hoşnut olmadığını, öfke duyduğunu yüz ifadesiyle belli etmek;To show that he is uncomfortable, that he is not satisfied, that he feels anger in his face
Yüzünü gören cennetlik;Uzun bir süre ortalıkta görünmeyen kimseler;Those who do not appear around for a long time
Yüzünü kara çıkarmak;Yaptığı bir iş ya da davranışla birini utandırmak, mahçup duruma düşürmek;Embarrassing someone with a job or behavior he does, making them embarrassed
Yüzünün akıyla çıkmak;Bir işe girip o işten başarı elde ederek, onurunu zedelemeden, utanılacak bir duruma düşmeden çıkmak;Getting out of a job and getting success from that job, damaging your dignity, getting out of a situation to be ashamed
Yüzü sirke satmak;Yüzünden hoşnut olmadığı anlaşılmak, asık yüzlü olmak;To be understood that he is not satisfied with his face, to be sullen -faced
Yüz üstü bırakmak;Tamamlanmamış bir durumda, yarı yolda bırakmak;In an unpretentious situation, quit halfway
Yüzü suyu hürmetine;Bir kimsenin hatırına değer verildiği için;Because it is valued for a person's memory
Yüzü tutmamak;Bir şey istemeye ya da söylemeye çekinmek, cesaret edememek;To ask for something or to be afraid of saying, not to dare
Yüz vermek;"Her istediğini yerine getirerek şımartmak; yakınlık göstererek, hoş görülü davranarak ölçüsüz hareketler yapmasına sebep olmak";"To pamper by fulfilling whatever he wants; causing them to make unhealthy movements by showing closeness, acting tolerance"
Yüz yüze bakmak;Yakın ilişki içinde bulunup, bu ilişkileri bir süre devam etmek;To be in close relationship and continue these relationships for a while
Zahmet çekmek;Sıkıntı, güçlük, yorgunluk ve eziyetlere katlanmak;To endure distress, difficulty, fatigue and torment
Zahmete sokmak;"Birine sıkıntı, güçlük ve yorgunluk vermek; masraf ettirmek";"To give someone distress, difficulty and fatigue; costly"
Zaman kollamak;Uygun bir fırsat beklemek;Expect an appropriate opportunity
Zehir etmek;Bir şeyin tadını kaçırmak, iyiyken kötü duruma sokmak;Missing the taste of something, putting it into a bad situation when it's fine
Zehir zemberek;İnsanın içine işleyen, onurunu zedeleyen çok acı söz;Very painful word that works into man and damages his dignity
Zemin hazırlamak;Bir işin gerçekleştirilmesi için uygun ortam hazırlamak;Preparing a suitable environment for the realization of a job
Zerre kadar;Hiç denecek kadar az;Less than ever
Zeval vermemek;Zarar ziyan vermemek, korumak;Not to waste harm, protect
Zevkten dört köşe olmak;Çok mutlu olduğu anlaşılmak, çok sevinip keyiflenmek ve aşırı zevk duymak;To be very happy to be very happy, to be very happy and to enjoy and to enjoy extreme
Zeytinyağı gibi üste çıkmak;Bir konuda haksız olduğunu kabullenmeyerek kurnazlıkla kendini haklı ya da suçsuz çıkarmaya çalışmak;Trying to raise himself right or not guilty by cunning
Zıttına gitmek;"Karşısındakini sinirlendirmek, sinirini bozmak; bir şeyin tersine hareket etmek";"Annoy the other person, disrupt your nervous; act contrary to something"
Zılgıt yemek;Azarlanmak, paylanmak;To be scolded, to share
Zınk diye durmak;Birdenbire, aniden durmak;Suddenly, suddenly stop
Zırnık bile koklatmamak;Az da olsa, en ufak bir şey de olsa vermemek;Not to give a little or the slightest thing
Zıvanadan çıkmak;Çok sinirlenip öfkelenmek, taşkınca hareketlerde bulunmak;To get very angry and get angry, to make floods
Zihni bulanmak;Sağlıklı düşünemez olmak, olaylar arasındaki bağlantıyı kaybetmek, ne yapacağını şaşırmak;Being not being able to think healthy, losing the connection between events, surprise what to do
Zihnini bulandırmak;Kuşkulandırmak;Doubt
Zihnini kurcalamak;Aklına takılan bir şeyi anlamaya, kavramaya çalışmak;Trying to understand and comprehend something stuck in your mind
Zil takıp oynamak;Çok sevinmek;Be happy with
Ziyafet çekmek;Konukları yemek vererek ağırlamak;Welcome guests by giving food
Zokayı yutmak;Aldatılıp zarara sokulmak;Be deceived and damaged
Zora binmek;İş güçleşmek, ancak zor kullanarak halledilecek hâle gelmek;Business becomes harder, but to be able to take care of it by force
Zora gelmemek;Sıkıntıya ve baskıya katlanamamak, güçlüğe sabredememek;Not being able to endure distress and pressure, not being able to be patient
Zoru olmak;Kendisini zorlayan bir sıkıntısı, derdi olmak;A problem that forces him to be a problem
Zurnanın zırt dediği yer;Yapılmakta olan işin en hassas, en önemli noktası;The most sensitive, most important point of the work being done
